DRINK,MOUSE,CAGE,Strain,Gen,Family,DOB,DOB,Sex,#,Litter,Notes,USE,12/12/2019,COAT,SQUAD,TX,Weight,D1T0,D1T120,D2TimeZero,D2T0,D2TimeTwo,D2T120,D2TimeFour,D2T240,D1ml,D2ml_02,D2ml_24,D2ml_all,D1gkg,D2gkg_02,D2gkg_24,D2gkg_all,BEC,Footslips,BeamBreaks,AtaxiaRatio,D1mlkg,D2mlkg_02,D2mlkg_24,D2mlkg_all
29,21.2,21,HDID-2,S38,531,19252,9/9/2019,F,2,4,,Parallel Rod,94,aa,8,EtOH,18.6,3.3,3.9,1030,3.55,1230,3.9,1430,4.6,0.6,0.35,0.7,1.05,5.092258065,2.970483871,5.940967742,8.911451613,2.92419,169,482,0.350622407,32.25806452,18.8172043,37.6344086,56.4516129
30,33.4,33,HS/Npt,G97.V29,1550,19213,8/1/2019,M,4,2,,Parallel Rod,133,cc,8,EtOH,24.7,3.6,4,1030,3.8,1230,4.1,1430,4.5,0.4,0.3,0.4,0.7,2.556437247,1.917327935,2.556437247,4.473765182,4.92E-01,79,383,0.206266319,16.19433198,12.14574899,16.19433198,28.34008097
31,1.1,1,HDID-1,S43.G46,514,19245,9/2/2019,F,1,5,,Parallel Rod,101,aa,8,Water,18.4,4.3,4.75,1030,3.6,1230,3.75,1430,3.9,0.45,0.15,0.15,0.3,3.860706522,1.286902174,1.286902174,2.573804348,,12,441,0.027210884,24.45652174,8.152173913,8.152173913,16.30434783
32,8.1,8,HDID-1,S43.G47,506,19252,9/9/2019,F,2,2,,Parallel Rod,94,aa,8,Water,23.9,4.2,4.75,1030,3.7,1230,3.9,1430,3.9,0.55,0.2,0,0.2,3.632761506,1.321004184,0,1.321004184,,93,508,0.183070866,23.0125523,8.368200837,0,8.368200837
33,22.3,22,HDID-2,S38,527,19250,9/7/2019,M,4,3,,Parallel Rod,96,aa,9,Water,23.2,3.2,3.3,1040,3.2,1240,4,1440,5.1,0.1,0.8,1.1,1.9,0.680431034,5.443448276,7.484741379,12.92818966,,38,505,0.075247525,4.310344828,34.48275862,47.4137931,81.89655172
34,33.3,33,HS/Npt,G97.V29,1550,19213,8/1/2019,M,4,2,,Parallel Rod,133,cc,9,Water,32.2,3.7,4.5,1040,3.3,1240,4.2,1440,5.2,0.8,0.9,1,1.9,3.921987578,4.412236025,4.902484472,9.314720497,,78,484,0.161157025,24.8447205,27.95031056,31.05590062,59.00621118
35,36.2,36,HS/Npt,G97.V29,1523,19215,8/3/2019,M,3,2,,Parallel Rod,131,aa,9,EtOH,36.5,3.2,3.3,1040,3.3,1240,3.3,1440,3.8,0.1,0,0.5,0.5,0.432493151,0,2.162465753,2.162465753,5.04E-01,66,478,0.138075314,2.739726027,0,13.69863014,13.69863014
36,25.1,25,HDID-2,S37,523,19252,9/9/2019,M,3,5,,Parallel Rod,94,aa,9,EtOH,21.7,3.2,3.7,1040,3.3,1240,3.5,1440,4.05,0.5,0.2,0.55,0.75,3.637327189,1.454930876,4.001059908,5.455990783,1.29792,103,431,0.238979118,23.04147465,9.216589862,25.34562212,34.56221198
37,10.4,10,HDID-1,S43.G46,514,19245,9/2/2019,M,4,5,,Parallel Rod,101,aa,10,Water,20.4,3.6,4,1050,3.3,1250,3.4,1450,4.4,0.4,0.1,1,1.1,3.095294118,0.773823529,7.738235294,8.512058824,,15,442,0.033936652,19.60784314,4.901960784,49.01960784,53.92156863
38,12.2,12,HDID-1,S43.G47,501,19247,9/4/2019,M,4,2,,Parallel Rod,99,bb,10,EtOH,23.4,3.4,3.7,1050,3.3,1250,3.8,1450,4.5,0.3,0.5,0.7,1.2,2.023846154,3.373076923,4.722307692,8.095384615,3.94039,154,455,0.338461538,12.82051282,21.36752137,29.91452991,51.28205128
39,23.3,23,HDID-2,S38,527,19250,9/7/2019,M,4,3,,Parallel Rod,96,aa,10,Water,25.7,3.15,3.9,1050,3.35,1250,3.75,1450,3.75,0.75,0.4,0,0.4,4.606809339,2.456964981,0,2.456964981,,48,431,0.11136891,29.18287938,15.56420233,0,15.56420233
40,24.4,24,HDID-2,S38,529,19251,9/8/2019,M,4,3,,Parallel Rod,95,aa,10,EtOH,22.1,3.5,3.7,1050,3.5,1250,4.2,1450,4.8,0.2,0.7,0.6,1.3,1.428597285,5.000090498,4.285791855,9.285882353,2.734,119,427,0.278688525,9.049773756,31.67420814,27.14932127,58.82352941
41,20.2,20,HDID-2,S38,521,19252,9/9/2019,F,5,4,,Parallel Rod,94,aa,11,EtOH,16.6,3.5,3.75,1010,3.5,1210,4.05,1410,4.7,0.25,0.55,0.65,1.2,2.377409639,5.230301205,6.18126506,11.41156627,2.76339,200,442,0.452488688,15.06024096,33.13253012,39.15662651,72.28915663
42,28.2,28,HS/Npt,G97.V29,1501,19217,8/5/2019,F,5,2,,Parallel Rod,129,bb,11,Water,26,3.4,4.3,1010,3.5,1210,4.3,1410,5.6,0.9,0.8,1.3,2.1,5.464384615,4.857230769,7.893,12.75023077,,74,467,0.158458244,34.61538462,30.76923077,50,80.76923077
43,31.2,31,HS/Npt,G97.V29,1514,19215,8/3/2019,F,3,2,,Parallel Rod,131,aa,11,Water,25.6,3.3,3.9,1010,3.5,1210,4.3,1410,5.4,0.6,0.8,1.1,1.9,3.69984375,4.933125,6.783046875,11.71617188,,21,477,0.044025157,23.4375,31.25,42.96875,74.21875
44,28.5,28,HS/Npt,G97.V29,1501,19217,8/5/2019,F,5,2,,Parallel Rod,129,aa,11,EtOH,23.7,3.4,3.55,1010,3.5,1210,3.7,1410,4.2,0.15,0.2,0.5,0.7,0.999113924,1.332151899,3.330379747,4.662531646,2.20E-01,63,461,0.136659436,6.329113924,8.438818565,21.09704641,29.53586498
45,26.2,26,HDID-2,S38,531,19252,9/9/2019,M,3,4,,Parallel Rod,94,bb,12,EtOH,24.3,3.2,3.6,1020,3.35,1220,3.55,1420,4.25,0.4,0.2,0.7,0.9,2.598518519,1.299259259,4.547407407,5.846666667,1.89316,162,501,0.323353293,16.46090535,8.230452675,28.80658436,37.03703704
46,9.2,9,HDID-1,S43.G46,507,19245,9/2/2019,M,3,3,,Parallel Rod,101,aa,12,Water,25.3,3.75,3.8,1020,3.75,1220,4.2,1420,5.3,0.05,0.45,1.1,1.55,0.311976285,2.807786561,6.863478261,9.671264822,,300,524,0.572519084,1.976284585,17.78656126,43.47826087,61.26482213
47,7.3,7,HDID-1,S43.G46,501,19251,9/8/2019,F,4,6,,Parallel Rod,95,aa,12,EtOH,17.4,3.4,3.9,1020,3.5,1220,3.5,1420,3.6,0.5,0,0.1,0.1,4.536206897,0,0.907241379,0.907241379,4.76E-01,16,420,0.038095238,28.73563218,0,5.747126437,5.747126437
48,24.2,24,HDID-2,S38,529,19251,9/8/2019,M,4,3,,Parallel Rod,95,aa,12,Water,24.5,3.2,4.1,1020,4,1220,4.8,1420,6.15,0.9,0.8,1.35,2.15,5.798938776,5.154612245,8.698408163,13.85302041,,39,462,0.084415584,36.73469388,32.65306122,55.10204082,87.75510204
49,15.1,15,HDID-1,S43.G47,517x,19250,9/7/2019,F,1,2,,Parallel Rod,96,bb,13,EtOH,18.8,3.6,3.9,1030,3.2,1230,3.85,1430,4,0.3,0.65,0.15,0.8,2.519042553,5.457925532,1.259521277,6.717446809,1.59198,55,438,0.125570776,15.95744681,34.57446809,7.978723404,42.55319149
50,34.1,34,HS/Npt,G97.V29,1542,19216,8/4/2019,M,3,2,,Parallel Rod,130,bb,13,Water,28.1,3.4,3.8,1030,3.65,1230,4.2,1430,5.7,0.4,0.55,1.5,2.05,2.247117438,3.089786477,8.426690391,11.51647687,,69,488,0.141393443,14.23487544,19.57295374,53.38078292,72.95373665
51,29.2,29,HS/Npt,G97.V29,1502,19217,8/5/2019,F,5,2,,Parallel Rod,129,aa,13,EtOH,23.3,3.4,3.65,1030,3.6,1230,3.75,1430,4.2,0.25,0.15,0.45,0.6,1.693776824,1.016266094,3.048798283,4.065064378,0,40,397,0.100755668,10.72961373,6.43776824,19.31330472,25.75107296
52,35.1,35,HS/Npt,G97.V29,1532,19215,8/3/2019,M,3 (4),2,,Parallel Rod,131,aa,13,Water,26.9,3.2,4,1030,3.3,1230,4.6,1430,5.85,0.8,1.3,1.25,2.55,4.69472119,7.628921933,7.335501859,14.96442379,,28,471,0.059447983,29.73977695,48.32713755,46.46840149,94.79553903
53,20.4,20,HDID-2,S38,521,19252,9/9/2019,F,5,4,,Parallel Rod,94,aa,14,Water,16.7,4,4.5,1040,3.7,1240,4.15,1440,5.15,0.5,0.45,1,1.45,4.726347305,4.253712575,9.452694611,13.70640719,,33,395,0.083544304,29.94011976,26.94610778,59.88023952,86.82634731
54,29.1,29,HS/Npt,G97.V29,1502,19217,8/5/2019,F,5,2,,Parallel Rod,129,aa,14,EtOH,23.4,3.2,3.4,1040,3.3,1240,3.35,1440,3.6,0.2,0.05,0.25,0.3,1.349230769,0.337307692,1.686538462,2.023846154,1.30757,65,415,0.156626506,8.547008547,2.136752137,10.68376068,12.82051282
55,24.1,24,HDID-2,S38,529,19251,9/8/2019,M,4,3,,Parallel Rod,95,aa,14,Water,29,3.15,4.4,1040,3.7,1240,5.75,1440,7.3,1.25,2.05,1.55,3.6,6.804310345,11.15906897,8.437344828,19.59641379,,30,489,0.061349693,43.10344828,70.68965517,53.44827586,124.137931
56,27.1,27,HDID-2,S38,535,19253,9/10/2019,M,2,4,,Parallel Rod,93,aa,14,EtOH,28.5,3.4,4.1,1040,3.4,1240,4.05,1440,4.9,0.7,0.65,0.85,1.5,3.877263158,3.600315789,4.708105263,8.308421053,2.04201,171,522,0.327586207,24.56140351,22.80701754,29.8245614,52.63157895
57,17.2,17,HDID-2,S38,527,19250,9/7/2019,F,5,3,,Parallel Rod,96,aa,15,Water,19.5,3.2,3.5,1050,3.4,1250,3.5,1450,4.7,0.3,0.1,1.2,1.3,2.428615385,0.809538462,9.714461538,10.524,,31,462,0.067099567,15.38461538,5.128205128,61.53846154,66.66666667
58,4.3,4,HDID-1,S43.G47,505,19250,9/7/2019,F,4,2,,Parallel Rod,96,aa,15,EtOH,16.4,3.8,4,1050,3.4,1250,3.7,1450,4.2,0.2,0.3,0.5,0.8,1.925121951,2.887682927,4.812804878,7.700487805,1.95937,96,439,0.218678815,12.19512195,18.29268293,30.48780488,48.7804878
59,23.2,23,HDID-2,S38,527,19250,9/7/2019,M,4,3,,Parallel Rod,96,aa,15,EtOH,23.6,3.25,3.9,1050,3.3,1250,3.3,1450,3.3,0.65,0,0,0,4.347838983,0,0,0,1.34E-01,35,453,0.077262693,27.54237288,0,0,0
60,17.5,17,HDID-2,S38,527,19250,9/7/2019,F,5,3,,Parallel Rod,96,aa,15,Water,16.9,3.4,4.2,1050,3.7,1250,4.2,1450,5.1,0.8,0.5,0.9,1.4,7.472662722,4.670414201,8.406745562,13.07715976,,57,371,0.153638814,47.33727811,29.58579882,53.25443787,82.84023669
61,30.3,30,HS/Npt,G97.V29,1505,19214,8/2/2019,F,4,2,,Parallel Rod,132,aa,16,EtOH,23.1,4.45,4.7,1010,3.6,1210,3.9,1410,4.25,0.25,0.3,0.35,0.65,1.708441558,2.05012987,2.391818182,4.441948052,0,31,431,0.071925754,10.82251082,12.98701299,15.15151515,28.13852814
62,29.3,29,HS/Npt,G97.V29,1502,19217,8/5/2019,F,5,2,,Parallel Rod,129,aa,16,EtOH,23.6,3.5,3.65,1010,3.55,1210,3.7,1410,3.9,0.15,0.15,0.2,0.35,1.003347458,1.003347458,1.33779661,2.341144068,4.36E-01,52,486,0.106995885,6.355932203,6.355932203,8.474576271,14.83050847
63,22.4,22,HDID-2,S38,527,19250,9/7/2019,M,4,3,,Parallel Rod,96,aa,16,Water,24.8,3.6,3.7,1010,3.6,1210,3.7,1410,3.7,0.1,0.1,0,0.1,0.636532258,0.636532258,0,0.636532258,,26,460,0.056521739,4.032258065,4.032258065,0,4.032258065
64,12.4,12,HDID-1,S43.G47,501,19247,9/4/2019,M,4,2,,Parallel Rod,99,aa,16,Water,27.9,3.2,4,1010,3.2,1210,4.05,1410,5.2,0.8,0.85,1.15,2,4.526451613,4.809354839,6.506774194,11.31612903,,133,491,0.270875764,28.67383513,30.46594982,41.21863799,71.68458781
65,18.1,18,HDID-2,S38,529,19251,9/8/2019,F,5,3,,Parallel Rod,95,aa,17,EtOH,23.3,3.7,4.5,1020,3.5,1220,3.9,1420,4.6,0.8,0.4,0.7,1.1,5.420085837,2.710042918,4.742575107,7.452618026,2.59057,75,478,0.156903766,34.33476395,17.16738197,30.04291845,47.21030043
66,17.1,17,HDID-2,S38,527,19250,9/7/2019,F,5,3,,Parallel Rod,96,aa,17,EtOH,23.6,3.65,4.2,1020,3.85,1220,3.9,1420,4.7,0.55,0.05,0.8,0.85,3.678940678,0.334449153,5.351186441,5.685635593,2.53632,192,404,0.475247525,23.30508475,2.118644068,33.89830508,36.01694915
67,18.2,18,HDID-2,S38,529,19251,9/8/2019,F,5,3,,Parallel Rod,95,aa,17,Water,24.6,3.25,4.15,1020,3.5,1220,4,1420,5.6,0.9,0.5,1.6,2.1,5.775365854,3.208536585,10.26731707,13.47585366,,40,432,0.092592593,36.58536585,20.32520325,65.04065041,85.36585366
68,22.2,22,HDID-2,S38,527,19250,9/7/2019,M,4,3,,Parallel Rod,96,aa,17,Water,23.9,3.2,4.25,1020,3.8,1220,4.45,1420,5.5,1.05,0.65,1.05,1.7,6.935271967,4.293263598,6.935271967,11.22853556,,32,479,0.066805846,43.93305439,27.19665272,43.93305439,71.12970711
69,25.3,25,HDID-2,S37,523,19252,9/9/2019,M,3,5,,Parallel Rod,94,aa,18,EtOH,23.3,3.6,4.3,1030,3.2,1230,3.4,1430,4.05,0.7,0.2,0.65,0.85,4.742575107,1.355021459,4.403819742,5.758841202,1.51124,108,482,0.22406639,30.04291845,8.583690987,27.89699571,36.4806867
70,29.4,29,HS/Npt,G97.V29,1502,19217,8/5/2019,F,5,2,,Parallel Rod,129,aa,18,Water,22.1,3.5,4.1,1030,3.3,1230,4.1,1430,5.1,0.6,0.8,1,1.8,4.285791855,5.71438914,7.142986425,12.85737557,,59,461,0.127982646,27.14932127,36.19909502,45.24886878,81.4479638
71,19.2,19,HDID-2,S37,523,19252,9/9/2019,F,3,5,,Parallel Rod,94,aa,18,Water,19.7,3.2,5.2,1030,4.2,1230,5.6,1430,6.5,2,1.4,0.9,2.3,16.02639594,11.21847716,7.211878173,18.43035533,,50,385,0.12987013,101.5228426,71.06598985,45.68527919,116.751269
72,4.2,4,HDID-1,S43.G47,505,19250,9/7/2019,F,4,2,,Parallel Rod,96,aa,18,EtOH,24.1,3.5,3.9,1030,3.8,1230,4.3,1430,4.75,0.4,0.5,0.45,0.95,2.620082988,3.275103734,2.947593361,6.222697095,2.25949,73,478,0.152719665,16.59751037,20.74688797,18.67219917,39.41908714
73,34.3,34,HS/Npt,G97.V29,1542,19216,8/4/2019,M,3,2,,Parallel Rod,130,bb,19,EtOH,25.8,3.45,3.5,1040,3.75,1240,3.75,1440,3.75,0.05,0,0,0,0.305930233,0,0,0,1.53E-01,108,482,0.22406639,1.937984496,0,0,0
74,28.1,28,HS/Npt,G97.V29,1501,19217,8/5/2019,F,5,2,,Parallel Rod,129,bb,19,EtOH,23.1,3.3,3.4,1040,3.8,1240,4.15,1440,4.4,0.1,0.35,0.25,0.6,0.683376623,2.391818182,1.708441558,4.10025974,1.39E-01,59,461,0.127982646,4.329004329,15.15151515,10.82251082,25.97402597
75,32.2,32,HS/Npt,G97.V29,1530,19218,8/6/2019,F,2,2,,Parallel Rod,128,cc,19,Water,25.1,3.15,3.4,1040,4.1,1240,4.9,1440,6,0.25,0.8,1.1,1.9,1.572310757,5.031394422,6.918167331,11.94956175,,50,385,0.12987013,9.960159363,31.87250996,43.8247012,75.69721116
76,11.1,11,HDID-1,S43.G47,518x,19246,9/3/2019,M,1,2,,Parallel Rod,100,aa,19,Water,29.5,3,3.6,1040,3.45,1240,4.1,1440,5.15,0.6,0.65,1.05,1.7,3.210711864,3.478271186,5.618745763,9.097016949,,73,478,0.152719665,20.33898305,22.03389831,35.59322034,57.62711864
77,25.2,25,HDID-2,S37,523,19252,9/9/2019,M,3,5,,Parallel Rod,94,aa,20,EtOH,20.8,3.3,4.2,1050,3.3,1250,3.9,1450,4.6,0.9,0.6,0.7,1.3,6.830480769,4.553653846,5.312596154,9.86625,3.56327,221,464,0.476293103,43.26923077,28.84615385,33.65384615,62.5
78,12.3,12,HDID-1,S43.G47,501,19247,9/4/2019,M,4,2,,Parallel Rod,99,aa,20,EtOH,24.1,4,4.5,1050,3.7,1250,4.15,1450,4.75,0.5,0.45,0.6,1.05,3.275103734,2.947593361,3.930124481,6.877717842,2.81247,150,450,0.333333333,20.74688797,18.67219917,24.89626556,43.56846473
79,27.2,27,HDID-2,S38,535,19253,9/10/2019,M,2,4,,Parallel Rod,93,aa,20,Water,29.5,3.7,5.2,1050,3.4,1250,4,1450,5.1,1.5,0.6,1.1,1.7,8.026779661,3.210711864,5.886305085,9.097016949,,146,476,0.306722689,50.84745763,20.33898305,37.28813559,57.62711864
80,31.1,31,HS/Npt,G97.V29,1514,19215,8/3/2019,F,3,2,,Parallel Rod,131,aa,20,Water,24.5,3.5,4.1,1050,3.7,1250,3.9,1450,4.4,0.6,0.2,0.5,0.7,3.865959184,1.288653061,3.221632653,4.510285714,,101,483,0.209109731,24.48979592,8.163265306,20.40816327,28.57142857
81,36.3,36,HS/Npt,G97.V29,1523,19215,8/3/2019,M,3,2,,Parallel Rod,131,aa,21,Water,36.4,3.2,3.9,1010,3.7,1210,4.6,1410,5.65,0.7,0.9,1.05,1.95,3.035769231,3.903131868,4.553653846,8.456785714,,31,430,0.072093023,19.23076923,24.72527473,28.84615385,53.57142857
82,32.1,32,HS/Npt,G97.V29,1521,19214,8/2/2019,F,1,2,,Parallel Rod,132,aa,21,Water,22.7,3.55,4.1,1010,3.6,1210,4.4,1410,5.75,0.55,0.8,1.35,2.15,3.824801762,5.563348018,9.38814978,14.9514978,,48,459,0.104575163,24.22907489,35.24229075,59.47136564,94.71365639
